"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"頂湖山農園","4.6","197","No. 64號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW",,"+886 2 2861 8570","Taiwanese restaurant","https://www.google.com/maps/search/?api=1&query=%E9%A0%82%E6%B9%96%E5%B1%B1%E8%BE%B2%E5%9C%92&query_place_id=ChIJjTVHSByyQjQR0lWw5s5V4bY"
"野菜屋熱炒","4.2","319","No. 55之17號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW",,"+886 930 062 829","Taiwanese restaurant","https://www.google.com/maps/search/?api=1&query=%E9%87%8E%E8%8F%9C%E5%B1%8B%E7%86%B1%E7%82%92&query_place_id=ChIJsajtI_SxQjQRot0E9qi0NKU"
"Pique Nique","4.5","567","Lane 53, Section 3, Zhongyang N Rd, 1號1F-1",,"Beitou District, Taipei City","TW",,"+886 2 2895 1181","Restaurant","https://www.google.com/maps/search/?api=1&query=Pique%20Nique&query_place_id=ChIJaRAgia6vQjQRMfGNHE7kAII"
"陽明山竹子湖故鄉海芋農園-附設餐廳","4.5","3660","Yangming Creek Walkway, 海芋大道",,"Beitou District, Taipei City","TW",,"+886 2 2861 5736","Taiwanese restaurant","https://www.google.com/maps/search/?api=1&query=%E9%99%BD%E6%98%8E%E5%B1%B1%E7%AB%B9%E5%AD%90%E6%B9%96%E6%95%85%E9%84%89%E6%B5%B7%E8%8A%8B%E8%BE%B2%E5%9C%92-%E9%99%84%E8%A8%AD%E9%A4%90%E5%BB%B3&query_place_id=ChIJ2Q7C2PquQjQRzuQuQV7Nm9w"
"吉園葡花園野菜餐廳","4.1","1247","No. 33, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","https://rink.cc/1x3u6","+886 2 2861 7246","Taiwanese restaurant","https://www.google.com/maps/search/?api=1&query=%E5%90%89%E5%9C%92%E8%91%A1%E8%8A%B1%E5%9C%92%E9%87%8E%E8%8F%9C%E9%A4%90%E5%BB%B3&query_place_id=ChIJ0S6SRvixQjQR9r1ORzkCiJA"
"Calla Lily","4.3","79",,,"Beitou District, Taipei City","TW","https://www.facebook.com/ha1688/","+886 972 768 909","Restaurant","https://www.google.com/maps/search/?api=1&query=Calla%20Lily&query_place_id=ChIJqwLEA_exQjQRe9eWoIIkHiI"
"Mr.Nick 花生捲冰淇淋","5","9","Yangming Creek Walkway, 33-5號海芋大道",,"Beitou District, Taipei City","TW","https://www.facebook.com/no.mane.ice2019/","+886 926 407 203","Ice cream shop","https://www.google.com/maps/search/?api=1&query=Mr.Nick%20%E8%8A%B1%E7%94%9F%E6%8D%B2%E5%86%B0%E6%B7%87%E6%B7%8B&query_place_id=ChIJGx_2c1exQjQR5cg06xf8ZCo"
"陽明山竹子湖杉木林餐廳","4.1","1194","No. 55-12號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","https://rink.cc/nbazs","+886 2 2861 7159","Taiwanese restaurant","https://www.google.com/maps/search/?api=1&query=%E9%99%BD%E6%98%8E%E5%B1%B1%E7%AB%B9%E5%AD%90%E6%B9%96%E6%9D%89%E6%9C%A8%E6%9E%97%E9%A4%90%E5%BB%B3&query_place_id=ChIJyT3L_fOxQjQRI_Rg0SIcMHM"
"竹子湖休閒中心","4.1","9","No. 55之3號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW",,"+886 2 2861 2033","Deli","https://www.google.com/maps/search/?api=1&query=%E7%AB%B9%E5%AD%90%E6%B9%96%E4%BC%91%E9%96%92%E4%B8%AD%E5%BF%83&query_place_id=ChIJ4RVrAvSxQjQRktnMbZobhxA"
"Shan Shuei Siang Wild Vegetables","4.1","366","No. 33-5, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","https://www.facebook.com/pages/%E7%AB%B9%E5%AD%90%E6%B9%96%E5%B1%B1%E6%B0%B4%E9%A6%99%E5%BA%AD%E5%9C%92%E9%87%8E%E8%8F%9C/271521312881451","+886 2 2861 8828","Taiwanese restaurant","https://www.google.com/maps/search/?api=1&query=Shan%20Shuei%20Siang%20Wild%20Vegetables&query_place_id=ChIJ0S6SRvixQjQRH2o-pTH43gQ"
"盛泉花園","4.7","59","Yangming Creek Walkway, 51號左側3公尺",,"Beitou District, Taipei City","TW","https://restaurant-105017.business.site/?utm_source=gmb&utm_medium=referral","+886 930 772 749","Coffee store","https://www.google.com/maps/search/?api=1&query=%E7%9B%9B%E6%B3%89%E8%8A%B1%E5%9C%92&query_place_id=ChIJf-qdf8CxQjQR4OIrCNEr-8E"
"湖田大樹下","4.6","83","台2甲線",,"Beitou District, Taipei City","TW",,"+886 2 2861 8789","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=%E6%B9%96%E7%94%B0%E5%A4%A7%E6%A8%B9%E4%B8%8B&query_place_id=ChIJkwJWe6qzQjQRVu-uR8P01js"
"青菜園","4.3","4586","Yangming Creek Walkway, 55之11號往中正山方向",,"Beitou District, Taipei City","TW","https://www.facebook.com/102099618995769/","+886 2 2861 9165","Taiwanese restaurant","https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E8%8F%9C%E5%9C%92&query_place_id=ChIJH0ado_axQjQRa2QHjI-yODI"
"竹子湖炒青菜","4.1","537","No. 55-3, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","https://www.facebook.com/ZhuZiHuChaoQingCaiXiuXianZhongXin","+886 2 2862 8775","Restaurant","https://www.google.com/maps/search/?api=1&query=%E7%AB%B9%E5%AD%90%E6%B9%96%E7%82%92%E9%9D%92%E8%8F%9C&query_place_id=ChIJ4RVrAvSxQjQRYq9jQlbqL-8"
"Man Tou Ge steamed bread","4.3","55","No. 51-1號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","https://www.facebook.com/%E9%A5%85%E9%A0%AD%E5%93%A5-%E6%89%8B%E5%B7%A5%E9%A5%85%E9%A0%AD-1643080219298459/","+886 986 568 528","Restaurant","https://www.google.com/maps/search/?api=1&query=Man%20Tou%20Ge%20steamed%20bread&query_place_id=ChIJHVnHHvexQjQRGvL_iLhcPAg"
"冠宸食館","4.2","1979","No. 67, Yangming Creek Walkway",,"Beitou District, Taipei City","TW",,"+886 2 2862 6408","Restaurant","https://www.google.com/maps/search/?api=1&query=%E5%86%A0%E5%AE%B8%E9%A3%9F%E9%A4%A8&query_place_id=ChIJM1CkBkuzQjQRbDJa9WoR8yo"
"3 Hao Chang Restaurant","4.7","36","No. 37之5號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW",,"+886 978 271 793","Restaurant","https://www.google.com/maps/search/?api=1&query=3%20Hao%20Chang%20Restaurant&query_place_id=ChIJl-gibvexQjQRNtlx-zDpzLk"
"竹子湖 山中園 野菜餐廳","4.1","1080","No. 33-7, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","https://www.leeleelin.com/2021/03/Shanzhongyan-Alocasia-Terraces.html","+886 2 2861 8211","Restaurant","https://www.google.com/maps/search/?api=1&query=%E7%AB%B9%E5%AD%90%E6%B9%96%20%E5%B1%B1%E4%B8%AD%E5%9C%92%20%E9%87%8E%E8%8F%9C%E9%A4%90%E5%BB%B3&query_place_id=ChIJ_bBK1vmxQjQR2dI34C4JLeQ"
"""2025臺灣崛起-看不見的竹仔湖","4.8","16","No. 51號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","https://www.facebook.com/profile.php?id=61557128745252&mibextid=LQQJ4d","+886 986 888 230","Scenic spot","https://www.google.com/maps/search/?api=1&query=%222025%E8%87%BA%E7%81%A3%E5%B4%9B%E8%B5%B7-%E7%9C%8B%E4%B8%8D%E8%A6%8B%E7%9A%84%E7%AB%B9%E4%BB%94%E6%B9%96&query_place_id=ChIJkwi0jAOtQjQRMZRmKTey6OU"
"原鄉私房餐館","4.6","332","No. 57, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","https://amy0313.pixnet.net/blog/post/46620945","+886 932 257 701","Restaurant","https://www.google.com/maps/search/?api=1&query=%E5%8E%9F%E9%84%89%E7%A7%81%E6%88%BF%E9%A4%90%E9%A4%A8&query_place_id=ChIJWRp2LfSxQjQRCUmEqSD8Gqo"
"綠山谷海芋園餐廳","4.2","357","No. 67之8號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","https://www.facebook.com/%E9%99%BD%E6%98%8E%E5%B1%B1%E7%AB%B9%E5%AD%90%E6%B9%96%E7%B6%A0%E5%B1%B1%E8%B0%B7-204812849647294/","+886 2 2862 2969","Restaurant","https://www.google.com/maps/search/?api=1&query=%E7%B6%A0%E5%B1%B1%E8%B0%B7%E6%B5%B7%E8%8A%8B%E5%9C%92%E9%A4%90%E5%BB%B3&query_place_id=ChIJuT8IER-yQjQRVJSCPadiCTY"
"竹湖小吃","4.5","37",,,"Beitou District, Taipei City","TW",,"+886 2 2861 0155","Taiwanese restaurant","https://www.google.com/maps/search/?api=1&query=%E7%AB%B9%E6%B9%96%E5%B0%8F%E5%90%83&query_place_id=ChIJ81kpp_axQjQR8C7DPTFLoGM"
"Hua Zhi You Restaurant Farm","4.5","380","No. 79之1號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","http://www.hzy-farm.com.tw/","+886 932 171 150","Mandarin restaurant","https://www.google.com/maps/search/?api=1&query=Hua%20Zhi%20You%20Restaurant%20Farm&query_place_id=ChIJwX27lTiyQjQR2lLc9iEBZNw"
"初鹿咖啡","4.8","237","No. 33-3號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW",,"+886 2 2861 5255","Coffee shop","https://www.google.com/maps/search/?api=1&query=%E5%88%9D%E9%B9%BF%E5%92%96%E5%95%A1&query_place_id=ChIJ3Y9gxqWxQjQRUR4R73egQp4"
"黑木屋","4.3","591","No. 67-10號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW",,"+886 2 2862 1133","Restaurant","https://www.google.com/maps/search/?api=1&query=%E9%BB%91%E6%9C%A8%E5%B1%8B&query_place_id=ChIJbT4sU_axQjQRvonMiYl_yLw"
"發現生活園藝休閒花園","4.4","320","No. 35-1, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","http://www.8898go.com/fashia/","+886 2 2862 7898","Restaurant","https://www.google.com/maps/search/?api=1&query=%E7%99%BC%E7%8F%BE%E7%94%9F%E6%B4%BB%E5%9C%92%E8%97%9D%E4%BC%91%E9%96%92%E8%8A%B1%E5%9C%92&query_place_id=ChIJ_aKvY_exQjQRfGKlao5sMB0"
"竹湖土雞城","4.4","230","No. 55-1號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","https://www.facebook.com/pages/%E7%AB%B9%E6%B9%96%E5%9C%9F%E9%9B%9E%E5%9F%8E/111187268965292","+886 2 2861 0155","Taiwanese restaurant","https://www.google.com/maps/search/?api=1&query=%E7%AB%B9%E6%B9%96%E5%9C%9F%E9%9B%9E%E5%9F%8E&query_place_id=ChIJNQpBn_axQjQRdzXtKNVok6M"
"名陽匍休閒農莊minyangpu","4.3","694","竹子湖路(用google map搜尋名陽匍休閒農莊即可",,"Beitou District, Taipei City","TW","https://www.facebook.com/minyangpu","+886 935 913 239","Cafe","https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E9%99%BD%E5%8C%8D%E4%BC%91%E9%96%92%E8%BE%B2%E8%8E%8Aminyangpu&query_place_id=ChIJQXQ1BR6yQjQRE95wOgHE2bM"
"Stonehouse63","4.3","918","No. 63號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW","http://www.facebook.com/63stonehouse","+886 900 632 108","Taiwanese restaurant","https://www.google.com/maps/search/?api=1&query=Stonehouse63&query_place_id=ChIJkRC_j_WxQjQRkdDh4L8Vqb0"
"山園野菜美食館","4","1337","No. 55-12號, Yangming Creek Walkway",,"Beitou District, Taipei City","TW",,"+886 2 2861 1558","Chinese restaurant","https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E5%9C%92%E9%87%8E%E8%8F%9C%E7%BE%8E%E9%A3%9F%E9%A4%A8&query_place_id=ChIJfS4hBvSxQjQRVlo54oaAfQ4"
"小丘咖啡屋","4.4","306","Yangming Creek Walkway, 55-13號",,"Beitou District, Taipei City","TW",,"+886 2 2862 5999","Cafe","https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E4%B8%98%E5%92%96%E5%95%A1%E5%B1%8B&query_place_id=ChIJBxMSBfSxQjQRLkf9Gw6QC70"
"Triple Cafe","4.1","2557","No. 118號, Section 5, Chenggong Rd",,"Neihu District, Taipei City","TW","https://www.facebook.com/triplecafe2016/","+886 2 8791 7620","Restaurant","https://www.google.com/maps/search/?api=1&query=Triple%20Cafe&query_place_id=ChIJuSpxMsCsQjQRKRZLC-9NCmQ"
"河南手工扯麵","4.2","574","Section 4, Zhongyang N Rd, 392號淡水線捷運忠義站出口左轉步行約3分鐘",,"Beitou District, Taipei City","TW",,"+886 2 2891 8298","Noodle shop","https://www.google.com/maps/search/?api=1&query=%E6%B2%B3%E5%8D%97%E6%89%8B%E5%B7%A5%E6%89%AF%E9%BA%B5&query_place_id=ChIJL2O5Z1KuQjQR53UIuXnHYB8"
"一事製菓 (無內用座位)","4.4","643","No. 3號, Alley 27, Lane 577, Section 4, Zhongyang N Rd",,"Beitou District, Taipei City","TW","https://liteshop.tw/p/cp6NNufF5kK5/u/cnR1NV","+886 2 2898 8298","Dessert shop","https://www.google.com/maps/search/?api=1&query=%E4%B8%80%E4%BA%8B%E8%A3%BD%E8%8F%93%20(%E7%84%A1%E5%85%A7%E7%94%A8%E5%BA%A7%E4%BD%8D)&query_place_id=ChIJjWEPsIauQjQRPBZM_6R6B7M"
"找午倉Brunch","4.3","839","Lane 296, Section 3, Dadu Rd, 42號1樓",,"Beitou District, Taipei City","TW","https://liff.line.me/1645278921-kWRPP32q/?accountId=907qiuyq",,"Brunch restaurant","https://www.google.com/maps/search/?api=1&query=%E6%89%BE%E5%8D%88%E5%80%89Brunch&query_place_id=ChIJlVAfvnKvQjQRptho33uDf_4"
"Su Cuo Beef Noodle Restaurant","4.1","105","No. 140號, Section 4, Zhongyang N Rd",,"Beitou District, Taipei City","TW",,"+886 2 2896 1215","Chinese noodle restaurant","https://www.google.com/maps/search/?api=1&query=Su%20Cuo%20Beef%20Noodle%20Restaurant&query_place_id=ChIJV85ckiCvQjQRL_bjMR2RcAw"
"STARBUCKS Guandu Shop","4.2","1023","No. 45號, Lane 296, Section 3, Dadu Rd",,"Beitou District, Taipei City","TW","http://www.starbucks.com.tw/home/index.jspx","+886 2 2894 5123","Coffee shop","https://www.google.com/maps/search/?api=1&query=STARBUCKS%20Guandu%20Shop&query_place_id=ChIJ4W2klXKvQjQROVWqIYuP950"
"1996 COFFEE 台北深夜咖啡廳","4.4","173","No. 19號, Ligong St",,"Beitou District, Taipei City","TW","https://instagram.com/1996_coffee?igshid=YmMyMTA2M2Y=","+886 2 2898 5289","Coffee shop","https://www.google.com/maps/search/?api=1&query=1996%20COFFEE%20%E5%8F%B0%E5%8C%97%E6%B7%B1%E5%A4%9C%E5%92%96%E5%95%A1%E5%BB%B3&query_place_id=ChIJ4cQJ4KivQjQR1Tvuk-F3hxo"
"NOMU CAFEコーヒーとカヌレ(休息日詳見IG)","4.7","14","Lane 296, Section 3, Dadu Rd, 46號1F",,"Beitou District, Taipei City","TW","https://instagram.com/no.mu.cafe?igshid=NjNlMDhmYTc=","+886 918 111 954","Coffee store","https://www.google.com/maps/search/?api=1&query=NOMU%20CAFE%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC%E3%81%A8%E3%82%AB%E3%83%8C%E3%83%AC(%E4%BC%91%E6%81%AF%E6%97%A5%E8%A9%B3%E8%A6%8BIG)&query_place_id=ChIJyREyPtOvQjQRCcfc_HclVlg"
"Luguo Caf'e","4.6","361","No. 39號, Lane 296, Section 3, Dadu Rd",,"Beitou District, Taipei City","TW","https://www.luguocafe.com/","+886 2 2891 5990","Cafe","https://www.google.com/maps/search/?api=1&query=Luguo%20Caf'e&query_place_id=ChIJwRJYl3KvQjQRctuUr9QrwQw"
"CITY CAFE在城市探索城事（自助咖啡機）","5","1","Ln 527, Daye Rd, 88號B1",,"Beitou District, Taipei City","TW",,,"Coffee shop","https://www.google.com/maps/search/?api=1&query=CITY%20CAFE%E5%9C%A8%E5%9F%8E%E5%B8%82%E6%8E%A2%E7%B4%A2%E5%9F%8E%E4%BA%8B%EF%BC%88%E8%87%AA%E5%8A%A9%E5%92%96%E5%95%A1%E6%A9%9F%EF%BC%89&query_place_id=ChIJB4AwCACvQjQRrMHGlkOObzQ"
"Heritage Bakery & Cafe","4.4","2216","No. 73之2號, Section 1, Hankou St",,"Zhongzheng District, Taipei City","TW","http://www.heritage.com.tw/","+886 2 2311 1079","Cafe","https://www.google.com/maps/search/?api=1&query=Heritage%20Bakery%20%26%20Cafe&query_place_id=ChIJy2EnjQypQjQR0YFRVGE5z8s"
"Modism Café 摩德年代 士林店","4.6","403","No. 29號, Lane 235, Zhongzheng Rd",,"Shilin District, Taipei City","TW","https://www.facebook.com/Modism.Au.Bread/","+886 2 2883 7012","Cafe","https://www.google.com/maps/search/?api=1&query=Modism%20Caf%C3%A9%20%E6%91%A9%E5%BE%B7%E5%B9%B4%E4%BB%A3%20%E5%A3%AB%E6%9E%97%E5%BA%97&query_place_id=ChIJn4mze4mvQjQRDe7XJaf7Ki0"
"Weiß Café","4.6","249","No. 3號, Lane 63, Section 7, Zhongshan N Rd",,"Shilin District, Taipei City","TW","https://www.facebook.com/weiss.fluegel.tw","+886 2 2876 5632","Coffee shop","https://www.google.com/maps/search/?api=1&query=Wei%C3%9F%20Caf%C3%A9&query_place_id=ChIJvb09QqyvQjQRhedAPFo6MAE"
"烘 HOMEBAKERY & CAFÉ","4.7","109","Tianmu W Rd, 65-3號1樓",,"Shilin District, Taipei City","TW",,"+886 2 2874 6656","Bakery","https://www.google.com/maps/search/?api=1&query=%E7%83%98%20HOMEBAKERY%20%26%20CAF%C3%89&query_place_id=ChIJ0RjVLN2vQjQRthRfBWKoFqg"
